"FIPS","totpop","age","race","education","maritalstatus","employed","medhouseincome","rentpincome","householdsize","healthins","gini","household"
22111960100,4584,83.94,68.59,9.45,54.6,93.55,44828,1.2871419648434,2.78,80.98,0.4088,56.18
22111960200,3607,83.89,57.33,10.73,46.45,89.89,27939,1.71444933605355,2.89,76.85,0.5064,50.8
22111960300,2332,74.01,70.07,10.1,57.09,92,34571,0.992161059847849,2.42,78.42,0.4411,52.32
22111960400,3845,83.25,37.11,14.25,35.9,88.05,23043,2.09608123942195,2.52,81.8,0.5112,34.41
22111960500,4807,85.56,94.01,16.98,61.48,94.72,38941,1.29169769651524,2.68,83.25,0.474,62.05
22111960600,3458,84.85,93.98,15.83,61.36,94.58,50368,1.23689644218551,2.62,86.44,0.3864,71.42
22113950100,9204,89.53,88.86,17.12,57.91,94.26,60579,1.09939087802704,2.75,85.43,0.4632,60.48
22113950200,5709,87.09,96.34,6.22,59.3,97.07,45215,1.12794426628331,2.59,85.49,0.4358,57.03
22113950400,4954,84.3,79.63,9.33,45.32,87.91,34673,1.44492833040118,2.33,78.13,0.471,42.88
22113950500,5749,88.29,93.25,15.36,62.32,93.2,50000,1.882,2.76,88.93,0.4192,66.76
22113950600,3676,85.39,89.15,20.43,46.5,98.51,40000,1.3875,2.62,83.31,0.4846,44.58
22113950700,4032,85,59.82,14.73,48.66,87.28,33112,1.92377385841991,2.43,75.33,0.4831,43.45
22113950800,5512,91.75,31.04,3.83,45.3,80.98,24599,1.91064677425912,2.78,73.44,0.4128,35.32
22113950901,2981,81.08,86.68,15.05,64.93,89.13,42708,1.69757422496956,2.61,89.54,0.4543,64.82
22113950902,6203,87.22,83.7,13.91,55.27,91.14,50000,1.268,2.52,82.43,0.4213,52.31
22113951001,4409,83.85,87.48,9.03,51.73,97.53,45352,1.08264244134768,2.54,81.25,0.4426,50.88
22113951002,3749,86.45,93.65,11.42,56.44,94.7,54554,1.27580012464714,2.74,90.73,0.3938,59.22
22113951100,1863,88.57,96.89,10.78,64.32,96.73,42650,0.928487690504103,2.74,86.8,0.4169,62.06
22115950100,5843,84.19,87.81,18.15,63.68,93.91,52694,1.03427335180476,2.68,86.65,0.4087,62.12
22115950200,4953,84.15,93.94,15.71,61.31,93.67,47356,1.22898893487626,2.55,87.74,0.4084,60.98
22115950300,4610,85.92,91.28,15.11,64.86,95.19,50479,1.18861308663008,2.66,86.63,0.4448,67.57
22115950400,3801,88.58,47.78,16.3,42.07,90.48,36977,1.66590042458826,2.5,78.86,0.4034,36.16
22115950500,6200,90.32,55.31,12.53,47.51,92.26,40388,1.60196097850847,2.51,82.73,0.4274,42.33
22115950600,3820,93.04,61.26,27.26,57.81,90.99,59914,1.52551991187369,2.47,87.09,0.3706,49.93
22115950702,3713,99.6,66.47,13.59,92.77,88.97,41061,2.15289447407516,3.92,98.32,0.2169,85.31
22115950703,2667,100,75.52,29.18,91.24,80.73,46584,1.90408724025416,2.64,95.37,0.3277,83.27
22115950704,3451,100,84.06,35.21,76.33,95.64,49766,2.07169553510429,3.35,98.95,0.2976,65.05
22115950800,4373,88.5,91.31,11.15,57.82,94.21,41909,1.56291011477248,2.74,80.5,0.3926,59.22
22115950900,6223,88.12,83.11,16.42,52.71,93.31,43926,1.46382552474616,2.67,80.86,0.3794,50.52
22117950101,4595,90.12,50.97,7.19,35.73,78.68,33250,1.7203007518797,2.68,78.33,0.5339,49.53
22117950102,4727,83.37,73.13,13.3,51.06,88.39,34792,1.75040239135433,2.78,77.7,0.4639,54.44
22117950200,5734,86.82,76.39,6.53,45.43,90.35,34827,1.80032733224223,2.6,76.28,0.493,44.7
22117950300,3818,80.57,37.45,15.49,31.48,85.5,24894,2.28167429902788,2.35,78.2,0.4743,27.96
22117950400,4080,85.07,72.75,14.52,49.44,79.99,28764,2.63871506049228,2.53,77.99,0.4975,45.96
22117950500,5824,85.97,89.32,10.82,47.63,91.1,33525,1.53318419090231,2.43,79.21,0.4386,42.8
22117950600,4416,79.94,92.41,8.42,58.33,91.35,34956,1.39604073692642,2.53,83.22,0.4073,58.79
22117950700,5304,86.07,79.86,14.91,41.72,80.44,32131,1.56235411285052,2.96,84.46,0.5916,43.61
22117950800,4178,85.73,29.99,15.2,30.81,58.67,23906,1.99113193340584,2.73,78.77,0.4795,26.64
22117950900,1137,88.92,41.25,1.98,38.03,86.61,24028,2.62194106875312,2.4,65.58,0.3504,33.33
22117951000,3212,89.32,57.88,8.99,37.01,89.88,26648,1.8387871510057,2.55,85.08,0.4706,32.85
22119031100,1784,85.59,91.2,15.85,59.47,96.98,41486,0.780986356843272,2.32,82.28,0.4135,55.33
22119031200,2388,79.9,60.34,10.27,50.56,89.24,31118,1.53608843756025,2.34,84.63,0.4353,45.23
22119031300,5325,81.18,64.38,16.42,40.64,82.76,26421,1.83187615911585,2.39,76.6,0.4616,38.41
22119031400,3066,80.37,80.4,12.9,59.41,90.71,41361,1.23304562268804,2.46,81.95,0.4251,57.37
22119031500,5907,84.56,80.18,8.42,52.06,94.12,40170,1.53348269853124,2.41,81.54,0.3968,53.61
22119031600,3056,83.21,90.31,27.98,72.64,93.59,65781,0.866511606694942,2.78,89.73,0.4923,76.3
22119031700,3418,88.68,16.85,6.05,22.79,82.08,20781,2.82950772340118,2.71,74.33,0.4499,20.34
22119031800,2820,88.48,65.5,11.33,38.66,86.38,35990,2.00055570991942,2.58,75.82,0.377,39.45
22119031900,2942,77.57,11.01,12.35,31.13,87.15,19513,2.59314303284989,2.21,72.88,0.4693,26.24
22119032000,3007,77.55,65.71,23.41,47.2,91.18,45690,1.28912234624644,2.23,87.57,0.4637,42.1
22119032100,7443,84.66,70.8,10.4,47.03,87.97,45669,1.26781843263483,2.53,83.69,0.4182,49.57
22121020100,4221,86.97,43.69,13.93,38.56,96.21,35547,2.2758601288435,2.38,81.09,0.4698,35.8
22121020200,3534,90.66,40.86,9.44,34.55,88.36,42390,1.83062042934654,2.6,74.08,0.3893,35.03
22121020300,6267,88.18,66.65,15.01,52.25,91.52,52406,1.38915391367401,2.76,89.36,0.4345,54.42
22121020401,5003,89.63,54.29,17.35,38.69,87.31,46458,1.42709544104352,2.87,86.55,0.4158,42.29
22121020402,4723,89.88,84.44,25.35,60.2,97.27,75486,1.07437140661845,2.63,91.17,0.3499,60.67
22123000100,4645,81.27,87.92,11.31,46.39,91.58,31956,1.60846163474778,2.47,71.44,0.4644,44.24
22123000200,3785,82.06,88.03,8.29,51.63,86.29,34311,1.35525050275422,2.53,66.66,0.4972,53.31
22123000300,3157,87.08,67.15,9.17,44.91,89.96,37750,1.03576158940397,2.93,67.99,0.4442,61.48
22125951701,3001,81.04,47.58,18.58,55.71,89.76,43766,1.5011652881232,2.65,84.14,0.406,61.8
22125951702,4848,98.27,30.16,4.98,11,82.89,44712,2.82027196278404,3.3,95.91,0.3448,53.66
22125951800,7726,87.48,68.48,30.25,48.09,93.45,63732,1.05441536433817,2.81,84.85,0.4547,54.34
22127960100,3901,86.7,93.85,12.63,63.25,93.82,36836,1.60983820175915,2.52,81.07,0.4351,62.17
22127960200,6075,87.39,65.17,11.04,42.79,94.07,45237,0.773702942281761,2.49,82.73,0.4392,55.44
22127960300,2947,81.37,62.37,16.81,42.12,91.8,25996,1.82335743960609,2.26,73.18,0.4929,37.43
22127960400,2310,84.11,30.09,6.85,33.27,86.07,24788,1.91221558818783,2.31,77.1,0.4261,30.09
